Russian,Polish
Стилистически (Это стилистически верно),Stylistycznie (To jest stylistycznie poprawne)
Подпись (Поставь подпись здесь),Podpis (Złóż podpis tutaj)
Действовать (Новые правила действуют с завтрашнего дня),Obowiązywać (Nowe zasady obowiązują od jutra)
Полный (Это полный список),Pełny (To pełna lista)
Обычно (Обычно я пью кофе утром),Zwykle (Zwykle piję kawę rano)
Лист (Лист упал с дерева),Liść (Liść spadł z drzewa)
Сердечно (Сердечно благодарю),Serdecznie (Serdecznie dziękuję)
Определить (Определи свою цель),Określić (Określ swój cel)
Продавать (Я продаю старую мебель),Sprzedawać (Sprzedaję stare meble)
Солнечный (Сегодня солнечный день),Słoneczny (Dzisiaj jest słoneczny dzień)
Наконец (Наконец-то я закончил работу),Wreszcie (Wreszcie skończyłem pracę)
Очерёдность (Расположи в правильной последовательности),Kolejność (Ułóż w odpowiedniej kolejności)
Лицо (У неё красивое лицо),Twarz (Ma ładną twarz)
Черта (Какая у него черта характера?),Cech (Jaka jest jego cecha charakteru?)
Оценка (Я получил хорошую оценку за тест),Ocena (Dostałem dobrą ocenę z testu)
"Пишущий (Человек, пишущий это письмо...)",Piszący (Osoba pisząca ten list...)
Спортивный (Я люблю спортивные машины),Sportowy (Lubię sportowe samochody)
Психология (Я интересуюсь психологией),Psychologia (Interesuję się psychologią)
Нейропсихология (Нейропсихология — интересная область),Neuropsychologia (Neuropsychologia to ciekawa dziedzina)
Влияние (У меня есть влияние на ситуацию),Wpływ (Mam wpływ na sytuację)
Многочисленный (Это многочисленная группа),Liczna (To liczna grupa)
Птица (Птица поёт на дереве),Ptak (Ptak śpiewa na drzewie)
Близко (Я живу близко к центру),Blisko (Mieszkam blisko centrum)
Отсутствие (Мне не хватает времени),Brak (Brak mi czasu)
"Как; и то и другое (Как ты, так и я)","Zarówno (Zarówno ty, jak i ja)"
Спокойный (Это спокойная улица),Spokojny (To spokojna ulica)
Понедельник (В понедельник я иду в бассейн),Poniedziałk (W poniedziałek idę na basen)
Известный (Это известный актёр),Znany (To znany aktor)
Факт (Это известный факт),Fakt (To znany fakt)
Никто (Никто не звонил),Nikt (Nikt nie dzwonił)
Радость (У меня большая радость),Radość (Mam wielką radość)
Означать (Что это значит?),Oznaczaa (Co to oznacza?)
Среди (Среди моих знакомых),Wśród (Wśród moich znajomych)
Таблица (Заполни таблицу),Tabela (Wypełnij tabelę)
Статья (Прочитай статью в газете),Artykul (Przeczytaj artykuł w gazecie)
Предоставить (Предоставь мне информацию),Udzielić (Udziel mi informacji)
Евро (Я заплатил 50 евро),Euro (Zapłaciłem 50 euro)
Актёр (Этот актёр играет в интересном фильме),Aktor (Ten aktor gra w ciekawym filmie)
"Согласно (По мне, это хорошая идея)",Według (Według mnie to dobry pomysł)
Третий (Это третий раз),Trzeci (To trzeci raz)
Ездить (Я езжу на велосипеде на работу),Jeździć (Jeżdżę rowerem do pracy)
Миллион (Миллион людей живёт в городе),Milion (Milion ludzi mieszka w mieście)
"То есть (Завтра, то есть в субботу, еду на море)","Czyli (Jutro, czyli w sobotę, jadę nad morze)"
"Лестница (Осторожно, лестница)",Schody (Uważaj na schody)
Учёба (У меня высшее образование),Studia (Mam studia wyższe)
Время года (Время года имеет значение),Pora (Pora roku ma znaczenie)
Считать; быть внимательным (Будь осторожен на дороге),Uważać (Uważaj na drodze)
Мать (Моя мать — учительница),Matka (Moja matka jest nauczycielką)
Представить (Представь себе такую ситуацию),Wyobrazić (Wyobraź sobie taką sytuację)
Дочь (Моей дочери пять лет),Córka (Moja córka ma pięć lat)
Языковой (Это языковой курс),Językowy (To kurs językowy)
Максимально (Максимально могу потратить 100 злотых),Maksymalć (Maksymalnie mogę wydać 100 złotych)
Самолёт (Самолёт в Польшу летит 3 часа),Samolot (Samolot do Polski leci 3 godziny)
Полёт (Рейс был задержан),Lot (Lot był opóźniony)
Рецепт; правило (У меня есть рецепт пирогов),Przepis (Mam przepis na pierogi)
Ярмарка (Рождественская ярмарка в Гданьске прекрасна),Jarmark (Jarmark bożonarodzeniowy w Gdańsku jest piękny)
Продукт (Это польский продукт),Produkt (To produkt polski)
Убирать (Я убираю квартиру в субботу),Sprzątać (Sprzątam mieszkanie w sobotę)
Реклама (Эта реклама смешная),Reklama (Ta reklama jest śmieszna)
Брат (У меня есть брат и сестра),Brat (Mam brata i siostrę)
Вид спорта (Какой вид спорта ты любишь?),Sporta (Jaki sport lubisz?)
Помидор (Купи помидоры для супа),Pomidor (Kup pomidory na zupę)
Крем (Крем для лица дорогой),Krem (Krem do twarzy jest drogi)
Скорая помощь (Позвони в скорую),Pogotowie (Zadzwoń na pogotowie)
Вызвать (Вызови такси),Wezwać (Wezwij taksówkę)
Низкий (У меня низкий рост),Niski (Mam niski wzrost)
Открытый (Магазин открыт до восьми),Otwartego (Sklep jest otwarty do ósmej)
Участие (Подтверди своё участие),Uczestnictwo (Potwierdź swoje uczestnictwo)
Женить (Он женится в июне),Żena (Żeni się w czerwcu)
Интервью (У меня собеседование),Wywiad (Mam wywiad o pracę)
Компьютерный (Я играю в компьютерную игру),Komputerowy (Gram w grę komputerową)
